# Program:featureCounts v2.0.0; Command:"featureCounts" "-g" "gene_id" "-a" "gen_ann.gtf" "-o" "feature_counts_fr4" "/content/out816.bam" "/content/out817.bam" "/content/out818.bam" "/content/out819.bam" 
Geneid	/content/out816.bam	/content/out817.bam	/content/out818.bam	/content/out819.bam
gene-YDL200C	753	393	31	106
gene-YDL199C	824	382	18	50
gene-YDL198C	47	236	45	140
gene-YDL197C	446	491	8	57
gene-YDL195W	1788	2642	99	483
gene-YDL194W	907	911	40	110
gene-YDL193W	146	260	51	228
gene-YDL192W	536	1668	587	2682
gene-YDL191W	614	1107	960	4287
gene-YDL190C	422	543	66	316
gene-YDL189W	52	136	120	507
gene-YDL188C	360	297	48	288
gene-YDL186W	52	36	12	35
gene-YDL185W	7236	7524	561	2221
gene-YDL184C	1592	2132	485	1786
gene-YDL183C	96	59	16	103
gene-YDL182W	844	599	312	878
gene-YDL181W	1630	2078	36	116
gene-YDL180W	296	361	57	171
gene-YDL179W	134	262	22	80
gene-YDL178W	811	1185	264	886
gene-YDL177C	101	81	60	207
gene-YDL176W	246	181	68	215
gene-YDL175C	378	322	71	245
gene-YDL174C	2891	5323	585	1928
gene-YDL173W	2313	2232	147	585
gene-YDL171C	1950	997	282	949
gene-YDL170W	525	347	365	954
gene-YDL169C	1876	1177	24	62
gene-YDL168W	15317	13406	676	2796
gene-YDL167C	68	80	349	1042
gene-YDL166C	121	206	204	642
gene-YDL165W	601	633	87	338
gene-YDL164C	72	369	10	53
gene-YDL161W	205	503	41	214
gene-YDL160C-A	88	92	12	48
gene-YDL160C	1098	1103	105	278
gene-YDL159W-A	11	7	1	4
gene-YDL159W	377	447	73	234
gene-YDL157C	151	358	29	114
gene-YDL156W	21	64	7	21
gene-YDL155W	104	169	89	293
gene-YDL154W	19	53	9	57
gene-YDL153C	768	801	564	1671
gene-YDL150W	139	258	390	1329
gene-YDL149W	731	371	15	76
gene-YDL148C	196	309	649	2002
gene-YDL147W	4396	4995	204	724
gene-YDL146W	89	145	20	93
gene-YDL145C	323	1075	217	813
gene-YDL144C	1105	1207	101	491
gene-YDL143W	1611	2038	545	1931
gene-YDL142C	377	449	13	58
gene-YDL141W	211	228	33	187
gene-YDL140C	1124	1340	338	1256
gene-YDL139C	92	111	33	120
gene-YDL138W	138	154	164	549
gene-YDL137W	5170	5037	305	1073
gene-YDL136W	472	616	804	3063
gene-YDL135C	610	1071	83	411
gene-YDL134C	1643	1246	256	992
gene-YDL133C-A	2317	3617	1056	3066
gene-YDL133W	301	215	122	484
gene-YDL132W	903	882	91	473
gene-YDL131W	1421	1600	655	2176
gene-YDL130W-A	5050	4178	54	146
gene-YDL130W	819	2531	2035	7817
gene-YDL129W	106	139	64	277
gene-YDL128W	645	648	199	710
gene-YDL127W	141	307	17	76
gene-YDL126C	9557	11514	165	678
gene-YDL125C	2925	2103	113	469
gene-YDL124W	9072	7667	141	520
gene-YDL123W	673	300	47	176
gene-YDL122W	471	407	551	1818
gene-YDL121C	232	402	157	456
gene-YDL120W	689	616	50	252
gene-YDL119C	54	128	19	84
gene-YDL117W	160	238	44	244
gene-YDL116W	326	358	160	592
gene-YDL115C	1489	1320	98	303
gene-YDL114W	16	11	1	1
gene-YDL113C	1539	1445	28	153
gene-YDL112W	214	435	195	656
gene-YDL111C	168	245	437	1451
gene-YDL110C	1085	1110	140	476
gene-YDL109C	151	143	46	137
gene-YDL108W	131	177	115	326
gene-YDL107W	74	151	20	88
gene-YDL106C	867	1017	39	163
gene-YDL105W	20	64	7	25
gene-YDL104C	94	250	9	34
gene-YDL103C	251	776	27	115
gene-YDL102W	72	179	27	84
gene-YDL101C	409	602	9	16
gene-YDL100C	1607	2609	117	450
gene-YDL099W	1466	1603	116	416
gene-YDL098C	66	111	23	134
gene-YDL097C	3046	4390	165	788
gene-YDL095W	860	1525	316	1317
gene-YDL093W	110	294	24	92
gene-YDL092W	316	547	150	526
gene-YDL091C	1025	1189	32	125
gene-YDL090C	410	345	12	46
gene-YDL089W	317	235	18	91
gene-YDL088C	705	799	224	788
gene-YDL087C	118	105	42	95
gene-YDL086W	3142	2318	152	588
gene-YDL085C-A	51	76	47	161
gene-YDL085W	2976	1162	28	48
gene-YDL084W	1524	3057	706	2770
gene-YDL083C	894	2559	2241	9548
gene-YDL082W	701	1803	2215	8898
gene-YDL081C	1696	4309	2566	10273
gene-YDL080C	210	205	131	410
gene-YDL079C	592	736	30	92
gene-YDL078C	9978	7113	202	654
gene-YDL077C	214	285	51	212
gene-YDL076C	162	175	127	527
gene-YDL075W	1282	3154	2706	11241
gene-YNCD0002C	10	22	12	25
gene-YDL074C	442	463	447	1464
gene-YDL073W	60	77	158	645
gene-YDL072C	1301	1742	43	188
gene-YDL070W	2773	1978	166	567
gene-YDL069C	129	114	26	112
gene-YDL067C	3771	4257	186	709
gene-YDL066W	885	1598	68	308
gene-YDL065C	1541	1383	115	355
gene-YDL064W	306	466	180	646
gene-YDL063C	51	102	672	2439
gene-YDL061C	858	1720	1279	5188
gene-YDL060W	190	272	809	2548
gene-YDL059C	17	21	12	58
gene-YDL058W	253	303	57	193
gene-YDL057W	369	308	20	47
gene-YDL056W	363	534	94	348
gene-YDL055C	3430	10535	921	3159
gene-YNCD0003W	0	0	1	5
gene-YDL054C	428	305	88	216
gene-YDL053C	714	686	191	734
gene-YDL052C	104	198	77	315
gene-YDL051W	813	1052	806	3009
gene-YDL049C	267	168	12	22
gene-YDL048C	1064	1270	612	1379
gene-YDL047W	1401	1511	281	1124
gene-YDL046W	5274	3328	232	916
gene-YDL045W-A	222	281	50	236
gene-YDL045C	303	444	43	132
gene-YDL044C	61	133	35	129
gene-YDL043C	211	187	40	126
gene-YDL042C	271	214	59	130
gene-YDL040C	386	834	132	481
gene-YDL039C	38	65	252	746
gene-YDL037C	28	45	109	206
gene-YDL036C	134	202	95	202
gene-YDL035C	537	445	213	549
gene-YDL033C	68	124	44	153
gene-YDL031W	328	397	634	1883
gene-YDL030W	109	141	67	233
gene-YDL029W	1309	2289	44	272
gene-YDL028C	189	272	66	227
gene-YDL027C	1593	1159	26	85
gene-YDL025C	1446	1040	200	563
gene-YDL024C	109	57	11	23
gene-YDL022C-A	8	4	1	1
gene-YNCD0004W	0	0	0	0
gene-YDL022W	7995	7584	13697	54779
gene-YDL021W	2069	2838	32	154
gene-YDL020C	2872	2563	246	706
gene-YDL019C	1331	1624	109	407
gene-YDL018C	25	165	1	17
gene-YDL017W	100	235	48	213
gene-YDL015C	1455	1953	523	1935
gene-YDL014W	295	777	2660	8578
gene-YDL013W	366	302	205	526
gene-YDL012C	71	295	30	138
gene-YDL010W	294	174	17	86
gene-YDL009C	46	54	7	7
gene-YDL008W	112	314	30	94
gene-YNCD0005C	0	0	0	3
gene-YDL007C-A	1	3	0	1
gene-YNCD0006W	0	0	0	1
gene-YDL007W	3122	3326	202	891
gene-YDL006W	197	185	60	256
gene-YDL005C	1397	1212	94	327
gene-YDL004W	4551	5198	84	421
gene-YDL003W	22	380	3	36
gene-YDL002C	256	416	99	406
gene-YDL001W	210	281	85	268
gene-YDR001C	3435	2626	547	1519
gene-YDR002W	531	1608	1680	6233
gene-YDR003W	721	942	67	280
gene-YDR003W-A	122	198	9	58
gene-YDR004W	235	277	44	273
gene-YDR005C	838	703	99	302
gene-YDR006C	1475	1293	401	1427
gene-YDR007W	484	372	110	313
gene-YDR009W	212	413	8	27
gene-YDR010C	4	22	0	4
gene-YDR011W	1879	1358	142	260
gene-YDR012W	783	1969	852	3202
gene-YDR013W	26	106	33	152
gene-YDR014W	142	178	17	46
gene-YDR014W-A	12	19	0	6
gene-YDR016C	28	63	9	28
gene-YDR017C	314	454	161	554
gene-YDR018C	724	383	13	33
gene-YDR019C	357	873	100	205
gene-YDR020C	46	75	78	262
gene-YDR021W	39	74	195	662
gene-YDR022C	717	515	45	172
gene-YNCD0007C	0	1	0	2
gene-YDR023W	2065	3379	1189	3903
gene-YDR025W	1479	3002	2521	9750
gene-YDR026C	255	358	178	551
gene-YDR027C	397	526	50	205
gene-YDR028C	1956	1714	214	745
gene-YDR029W	166	146	11	36
gene-YDR030C	537	377	39	152
gene-YDR031W	217	527	10	72
gene-YDR032C	3059	3524	40	237
gene-YDR033W	505	1320	721	2190
gene-YDR034C	467	477	177	566
gene-YDR034C-D	91	43	38	26
gene-YDR034C-C	0	0	0	0
gene-YNCD0008W	0	1	0	0
gene-YDR034C-A	13	8	1	0
gene-YNCD0009W	0	0	0	0
gene-YDR034W-B	329	120	10	28
gene-YDR035W	1232	1490	725	2189
gene-YDR036C	358	959	63	270
gene-YDR037W	292	581	3160	10349
gene-YDR038C	236	38	36	135
gene-YDR039C	0	0	8	29
gene-YDR040C	916	102	59	235
gene-YDR041W	681	974	58	231
gene-YDR042C	1	6	6	20
gene-YNCD0010C	3	3	2	4
gene-YDR043C	724	253	206	518
gene-YDR044W	123	352	14	79
gene-YDR045C	28	64	86	292
gene-YDR046C	1803	1292	340	1637
gene-YDR047W	361	1256	132	601
gene-YDR049W	147	277	214	689
gene-YDR050C	37567	44619	3996	14994
gene-YDR051C	709	633	142	557
gene-YDR052C	227	423	149	519
gene-YDR054C	1515	1251	400	1071
gene-YDR055W	2881	3417	68	306
gene-YDR056C	865	1030	60	247
gene-YDR057W	420	336	46	153
gene-YDR058C	176	272	81	266
gene-YNCD0011W	0	0	0	0
gene-YNCD0012W	0	0	0	0
gene-YDR059C	1729	969	119	254
gene-YDR060W	230	481	913	2804
gene-YDR061W	132	218	56	212
gene-YDR062W	568	823	355	1403
gene-YDR063W	546	826	23	162
gene-YDR064W	1369	3549	4138	17587
gene-YDR065W	109	174	73	228
gene-YDR066C	118	149	19	100
gene-YDR067C	390	523	67	267
gene-YDR068W	1067	1005	67	280
gene-YDR069C	705	699	69	252
gene-YDR070C	8533	1351	81	44
gene-YDR071C	1116	2074	125	760
gene-YDR072C	304	299	608	1354
gene-YDR073W	186	146	55	202
gene-YDR074W	5568	3960	209	563
gene-YDR075W	41	58	92	304
gene-YDR076W	99	108	6	37
gene-YDR077W	62036	42298	5701	15885
gene-YDR078C	45	96	19	74
gene-YDR079W	223	357	58	155
gene-YDR079C-A	184	154	19	66
gene-YDR080W	472	568	49	160
gene-YDR081C	239	406	157	429
gene-YDR082W	302	342	61	221
gene-YDR083W	138	199	527	1482
gene-YDR084C	124	284	15	103
gene-YDR085C	900	654	29	60
gene-YDR086C	627	1081	237	1085
gene-YDR087C	62	242	503	1783
gene-YDR088C	645	764	102	313
gene-YNCD0013C	0	0	0	2
gene-YDR089W	202	308	60	148
gene-YDR090C	528	428	87	264
gene-YDR091C	426	548	1127	3162
gene-YDR092W	546	772	147	421
gene-YDR093W	252	537	148	416
gene-YDR096W	2033	1684	93	226
gene-YDR097C	216	606	14	44
gene-YDR098C	394	834	176	655
gene-YNCD0014C	0	0	0	0
gene-YDR098C-B	5	8	18	108
gene-YDR098C-A	0	0	0	0
gene-YDR099W	5438	4174	151	706
gene-YDR100W	196	414	5	56
gene-YDR101C	134	260	964	2914
gene-YDR102C	13	13	9	18
gene-YDR103W	36	52	50	168
gene-YDR104C	198	203	28	118
gene-YDR105C	561	534	58	242
gene-YDR106W	84	41	4	10
gene-YNCD0015C	0	0	0	0
gene-YDR107C	94	93	2	20
gene-YDR108W	54	96	44	121
gene-YDR109C	306	230	83	241
gene-YDR110W	60	85	153	485
gene-YDR111C	980	141	234	584
gene-YDR113C	53	273	19	56
gene-YDR114C	1	7	0	0
gene-YDR115W	178	516	35	130
gene-YDR116C	197	661	52	223
gene-YDR117C	109	186	68	237
gene-YDR118W	58	102	10	70
gene-YDR119W	93	115	168	749
gene-YDR119W-A	7506	2730	124	186
gene-YDR120C	257	356	383	1074
gene-YDR121W	147	196	73	260
gene-YDR122W	710	683	27	119
gene-YDR123C	923	1030	34	119
gene-YDR124W	119	253	10	63
gene-YDR125C	204	318	14	48
gene-YDR126W	115	80	43	150
gene-YDR127W	812	1663	37	201
gene-YDR128W	507	429	44	163
gene-YDR129C	7154	8934	226	685
gene-YDR130C	167	227	52	140
gene-YDR131C	206	158	28	78
gene-YDR132C	152	127	42	94
gene-YDR135C	821	922	104	434
gene-YDR137W	218	361	50	192
gene-YDR138W	93	187	51	253
gene-YDR139C	401	511	71	218
gene-YDR140W	239	294	48	133
gene-YDR141C	543	677	49	187
gene-YDR142C	355	256	51	195
gene-YDR143C	197	237	140	555
gene-YDR144C	16	47	61	299
gene-YDR145W	1022	883	154	557
gene-YDR146C	130	219	4	37
gene-YDR147W	125	106	37	161
gene-YDR148C	7664	7165	148	409
gene-YDR150W	3490	2612	78	240
gene-YDR151C	1022	1477	110	313
gene-YDR152W	816	1014	377	1400
gene-YDR153C	780	904	215	659
gene-YDR155C	26693	23968	452	1935
gene-YDR156W	190	233	253	1118
gene-YDR157W	17	22	16	76
gene-YDR158W	658	1481	516	1294
gene-YDR159W	298	375	107	291
gene-YDR160W	442	396	114	327
gene-YDR161W	366	446	469	1695
gene-YDR162C	507	394	42	188
gene-YDR163W	535	388	63	195
gene-YDR164C	544	673	89	256
gene-YDR165W	57	174	386	1287
gene-YDR166C	545	628	84	275
gene-YDR167W	314	484	109	403
gene-YDR168W	3237	2999	135	469
gene-YDR169C	1072	915	56	168
gene-YDR169C-A	8	11	1	2
gene-YDR170C	1054	1616	102	423
gene-YNCD0016C	0	0	0	0
gene-YDR170W-A	7	18	5	17
gene-YDR171W	20854	36601	273	1281
gene-YDR172W	1434	2049	934	2779
gene-YDR173C	801	280	56	134
gene-YDR174W	1267	1634	278	885
gene-YDR175C	265	869	66	242
gene-YDR176W	486	671	78	370
gene-YDR177W	1011	1037	93	464
gene-YDR178W	3947	3462	90	278
gene-YDR179C	439	254	34	133
gene-YDR179W-A	59	61	37	175
gene-YDR180W	33	114	30	112
gene-YDR181C	406	556	27	130
gene-YDR182W	377	475	64	239
gene-YDR182W-A	3	16	0	6
gene-YDR183W	86	171	15	91
gene-YDR184C	166	170	292	915
gene-YDR185C	82	96	52	153
gene-YDR186C	2061	1444	635	1610
gene-YDR188W	1039	1666	715	2624
gene-YDR189W	338	506	122	482
gene-YDR190C	830	1170	406	1301
gene-YDR191W	9	22	15	71
gene-YDR192C	135	119	96	285
gene-YDR194C	201	218	298	970
gene-YDR194W-A	0	0	1	0
gene-YDR195W	173	203	85	354
gene-YDR196C	847	936	50	226
gene-YDR197W	149	261	38	189
gene-YDR198C	164	241	71	227
gene-YDR200C	540	409	50	161
gene-YDR201W	159	166	9	46
gene-YDR202C	997	1057	40	144
gene-YDR204W	1622	1290	28	93
gene-YDR205W	273	220	56	231
gene-YDR206W	937	582	324	1136
gene-YDR207C	155	198	154	389
gene-YDR208W	841	1097	231	717
gene-YDR209C	73	184	26	139
gene-YDR210W	0	0	0	0
gene-YDR210W-A	0	0	0	0
gene-YDR210W-B	0	1	0	2
gene-YDR210C-D	1	0	0	0
gene-YDR210C-C	0	0	0	0
gene-YNCD0017W	0	0	0	0
gene-YDR211W	319	453	497	1543
gene-YDR212W	837	1443	311	1165
gene-YDR213W	94	193	42	121
gene-YDR214W	3206	3266	92	286
gene-YDR215C	5	25	0	4
gene-YDR216W	6472	6987	97	279
gene-YDR217C	225	292	32	82
gene-YDR218C	40	11	5	15
gene-YDR219C	406	390	78	221
gene-YDR221W	298	531	36	142
gene-YDR222W	160	161	487	2365
gene-YDR223W	308	117	46	148
gene-YDR224C	2648	12651	316	3715
gene-YDR225W	3541	10070	134	1442
gene-YDR226W	1639	3875	821	3227
gene-YDR227W	312	331	88	251
gene-YDR228C	89	94	83	351
gene-YDR229W	328	538	25	109
gene-YDR231C	684	786	48	216
gene-YDR232W	758	997	951	3208
gene-YDR233C	3702	4046	815	3176
gene-YDR234W	154	206	361	1280
gene-YDR235W	161	156	85	263
gene-YDR236C	216	280	33	153
gene-YDR237W	52	516	47	179
gene-YDR238C	1505	2234	221	753
gene-YDR239C	361	352	67	160
gene-YDR240C	67	50	76	234
gene-YNCD0018W	1	2	1	4
gene-YDR242W	263	339	51	201
gene-YDR243C	169	155	73	162
gene-YDR244W	599	500	98	372
gene-YDR245W	319	477	308	1119
gene-YDR246W	872	817	36	134
gene-YDR246W-A	29	16	1	3
gene-YDR247W	500	644	17	72
gene-YDR248C	134	147	40	160
gene-YDR249C	36	43	80	242
gene-YDR251W	1152	1351	36	165
gene-YDR252W	55	51	4	19
gene-YDR253C	75	67	24	89
gene-YDR254W	394	281	12	53
gene-YDR255C	1487	934	17	61
gene-YDR256C	24982	5348	242	160
gene-YDR257C	131	237	112	350
gene-YDR258C	12439	35884	117	944
gene-YDR259C	274	321	8	42
gene-YDR260C	102	126	42	122
gene-YDR261C	48	100	16	128
gene-YNCD0019C	0	0	0	0
gene-YDR261W-A	0	0	0	0
gene-YDR261W-B	0	1	0	0
gene-YDR261C-D	0	0	0	0
gene-YDR261C-C	0	0	0	0
gene-YNCD0020W	0	0	0	1
gene-YDR262W	3610	1436	158	385
gene-YDR263C	75	114	3	42
gene-YDR264C	404	597	108	379
gene-YDR265W	222	398	20	111
gene-YDR266C	182	268	340	1317
gene-YDR267C	182	316	70	264
gene-YDR268W	18	187	15	61
gene-YDR270W	310	586	155	452
gene-YDR272W	3158	2429	171	540
gene-YDR273W	270	119	11	58
gene-YDR274C	334	168	11	20
gene-YDR275W	1808	1827	56	196
gene-YDR276C	4848	5119	95	438
gene-YDR277C	395	328	27	57
gene-YDR278C	0	0	0	0
gene-YNCD0021C	0	0	0	0
gene-YDR279W	178	301	22	60
gene-YDR280W	66	167	244	740
gene-YDR281C	1	5	1	3
gene-YDR282C	293	502	13	57
gene-YDR283C	465	508	50	229
gene-YDR284C	113	319	22	146
gene-YDR285W	69	112	25	123
gene-YDR286C	67	108	13	55
gene-YDR287W	1046	824	38	143
gene-YDR288W	447	324	112	382
gene-YDR289C	833	820	59	234
gene-YDR291W	291	272	81	253
gene-YDR292C	372	819	111	465
gene-YDR293C	5579	2501	189	528
gene-YDR294C	1605	1745	73	263
gene-YDR295C	162	306	33	121
gene-YDR296W	310	743	47	208
gene-YDR297W	356	700	201	634
gene-YDR298C	3651	6553	148	869
gene-YDR299W	169	226	612	2120
gene-YDR300C	142	355	191	652
gene-YDR301W	290	331	66	270
gene-YDR302W	50	73	48	220
gene-YDR303C	87	203	67	251
gene-YDR304C	668	1492	100	489
gene-YDR305C	174	249	12	112
gene-YDR306C	1198	852	58	205
gene-YNCD0022C	0	1	0	1
gene-YDR307W	94	129	18	94
gene-YDR308C	74	125	30	145
gene-YDR309C	60	501	23	175
gene-YDR310C	401	409	144	612
gene-YDR311W	281	292	114	418
gene-YDR312W	121	249	220	766
gene-YDR313C	929	1160	65	190
gene-YDR314C	411	459	10	55
gene-YDR315C	199	197	8	56
gene-YDR316W	300	440	25	118
gene-YNCD0023C	0	0	0	1
gene-YDR316W-A	0	0	0	0
gene-YDR316W-B	36	0	0	0
gene-YDR317W	84	39	12	54
gene-YDR318W	64	117	11	58
gene-YDR319C	504	411	31	96
gene-YDR320C	655	1018	45	242
gene-YDR320C-A	551	542	29	124
gene-YDR321W	38	78	297	1016
gene-YDR322W	267	794	59	250
gene-YDR322C-A	1191	2217	204	739
gene-YDR323C	94	119	33	171
gene-YDR324C	110	200	535	1724
gene-YDR325W	44	69	85	311
gene-YDR326C	121	219	160	532
gene-YDR328C	3261	2625	215	671
gene-YDR329C	1965	1412	86	352
gene-YDR330W	1448	991	56	251
gene-YDR331W	132	198	88	229
gene-YDR332W	201	236	65	265
gene-YDR333C	204	404	245	802
gene-YDR334W	459	604	120	396
gene-YDR335W	1792	1680	108	351
gene-YDR336W	163	179	33	133
gene-YDR337W	118	576	40	234
gene-YDR338C	406	384	81	221
gene-YDR339C	352	577	537	1793
gene-YNCD0024C	1	0	0	0
gene-YDR341C	244	920	544	1864
gene-YDR342C	6077	8045	175	279
gene-YDR343C	3584	5074	32	110
gene-YDR344C	4	7	3	9
gene-YDR345C	2380	2561	4207	8374
gene-YDR346C	366	591	277	960
gene-YDR347W	170	788	87	386
gene-YDR348C	143	478	95	361
gene-YDR349C	856	709	217	662
gene-YNCD0025W	0	0	0	0
gene-YDR350C	367	391	128	401
gene-YDR351W	439	285	171	560
gene-YDR352W	242	254	68	234
gene-YDR353W	379	1062	179	577
gene-YDR354W	46	48	27	127
gene-YDR356W	215	424	15	49
gene-YDR357C	519	322	20	55
gene-YDR358W	1364	1521	25	52
gene-YDR359C	285	320	37	167
gene-YDR361C	212	300	376	1474
gene-YDR362C	300	492	114	393
gene-YDR363W	465	511	97	203
gene-YNCD0026W	0	0	0	0
gene-YDR363W-A	994	1256	73	323
gene-YDR364C	266	205	158	470
gene-YDR365C	233	440	634	2099
gene-YDR365W-A	0	0	0	0
gene-YDR365W-B	1	3	0	3
gene-YDR366C	11	8	7	28
gene-YDR367W	174	250	122	430
gene-YDR368W	982	1166	296	1244
gene-YDR369C	103	99	17	48
gene-YDR370C	58	61	97	350
gene-YDR371W	46	38	10	70
gene-YDR372C	632	715	213	920
gene-YDR373W	470	652	97	410
gene-YDR374C	0	11	1	3
gene-YDR374W-A	191	231	15	40
gene-YDR375C	73	306	40	125
gene-YDR376W	120	404	7	81
gene-YDR377W	2179	4500	123	602
gene-YDR378C	148	254	56	240
gene-YDR379W	246	387	67	309
gene-YDR379C-A	1293	828	12	28
gene-YDR380W	486	1844	11	56
gene-YDR381W	820	1539	231	791
gene-YDR381C-A	243	318	34	156
gene-YDR382W	884	3024	2763	11826
gene-YDR383C	38	81	35	163
gene-YDR384C	797	166	193	640
gene-YDR385W	23799	24691	6939	20979
gene-YDR386W	124	176	21	72
gene-YDR387C	193	297	44	187
gene-YDR388W	2325	2977	167	769
gene-YDR389W	222	182	66	219
gene-YDR390C	561	683	125	352
gene-YNCD0027C	0	0	0	0
gene-YDR391C	398	521	32	191
gene-YDR392W	88	149	54	255
gene-YDR393W	210	249	38	154
gene-YDR394W	3124	3571	137	692
gene-YDR395W	281	674	439	1387
gene-YDR397C	402	648	176	529
gene-YDR398W	81	263	824	2779
gene-YDR399W	241	621	1889	5422
gene-YDR400W	64	234	68	250
gene-YDR402C	16	6	3	15
gene-YDR403W	70	65	7	27
gene-YDR404C	145	201	105	415
gene-YDR405W	569	672	136	490
gene-YDR406W	927	716	141	176
gene-YDR407C	61	144	27	165
gene-YDR408C	400	504	208	659
gene-YDR409W	452	356	86	299
gene-YDR410C	19	11	40	114
gene-YDR411C	869	829	43	163
gene-YDR412W	144	252	400	1298
gene-YDR414C	21	32	38	242
gene-YDR415C	120	160	98	282
gene-YDR416W	161	292	112	369
gene-YDR418W	703	2276	2399	9540
gene-YDR419W	267	213	128	415
gene-YNCD0028W	0	0	0	0
gene-YDR420W	412	266	111	355
gene-YDR421W	248	328	39	151
gene-YDR422C	321	312	96	363
gene-YDR423C	687	1208	60	159
gene-YDR424C	528	565	25	89
gene-YDR425W	663	487	26	110
gene-YDR427W	1431	2129	117	614
gene-YDR428C	113	230	75	230
gene-YDR429C	1152	2039	817	2649
gene-YDR430C	161	345	61	217
gene-YDR432W	4839	6727	1052	2179
gene-YDR434W	428	455	69	318
gene-YDR435C	978	735	23	84
gene-YDR436W	1238	895	37	137
gene-YDR437W	17	22	6	25
gene-YDR438W	90	121	26	96
gene-YDR439W	149	175	45	159
gene-YDR440W	41	146	11	34
gene-YDR441C	115	268	22	80
gene-YDR443C	400	409	37	120
gene-YDR444W	205	445	36	144
gene-YNCD0029C	0	0	0	0
gene-YDR446W	2	2	3	10
gene-YDR447C	548	2121	1804	7361
gene-YDR448W	91	276	107	344
gene-YDR449C	58	95	485	2014
gene-YDR450W	979	2054	2463	9841
gene-YDR451C	22	26	6	60
gene-YDR452W	2301	2186	148	637
gene-YDR453C	148	185	15	44
gene-YDR454C	647	976	353	1208
gene-YDR456W	861	838	65	344
gene-YDR457W	1151	1102	69	291
gene-YDR458C	619	712	134	425
gene-YDR459C	122	131	107	375
gene-YDR460W	601	466	68	332
gene-YDR461W	40	17	3	5
gene-YDR461C-A	961	453	14	55
gene-YDR462W	437	746	36	137
gene-YDR463W	2027	1453	396	1345
gene-YDR464W	719	524	251	761
gene-YDR465C	187	405	559	1837
gene-YDR466W	630	616	107	347
gene-YDR468C	446	581	81	336
gene-YDR469W	197	257	69	186
gene-YDR470C	410	567	55	190
gene-YDR471W	572	1592	1921	7665
gene-YNCD0030W	4	10	1	5
gene-YDR472W	104	191	127	483
gene-YDR473C	874	629	85	287
gene-YDR475C	1073	1803	102	349
gene-YDR476C	1359	1158	135	461
gene-YDR477W	1093	1252	134	441
gene-YDR478W	164	304	65	225
gene-YDR479C	540	562	53	198
gene-YDR480W	174	357	12	83
gene-YDR481C	1211	1029	101	376
gene-YDR482C	243	198	70	253
gene-YDR483W	3741	3146	778	2382
gene-YDR484W	237	300	37	170
gene-YDR485C	1272	960	146	387
gene-YDR486C	1214	1100	117	379
gene-YDR487C	136	786	91	442
gene-YDR488C	4	29	5	8
gene-YDR489W	42	86	54	202
gene-YDR490C	716	455	30	181
gene-YDR492W	1672	1092	177	709
gene-YDR493W	35	99	28	112
gene-YDR494W	751	1555	95	412
gene-YDR495C	530	364	47	170
gene-YDR496C	126	261	846	2485
gene-YDR497C	16250	11489	251	591
gene-YDR498C	576	605	37	204
gene-YDR499W	159	150	35	125
gene-YDR500C	647	1779	1489	5850
gene-YDR501W	59	86	2	15
gene-YDR502C	506	3175	592	1241
gene-YDR503C	19	54	5	27
gene-YDR504C	47	20	10	23
gene-YDR505C	2134	1228	82	182
gene-YDR506C	134	108	9	26
gene-YNCD0031C	0	0	0	0
gene-YDR507C	123	473	10	117
gene-YDR508C	798	551	2092	9002
gene-YDR510W	793	1161	197	994
gene-YDR511W	215	522	27	123
gene-YDR512C	512	396	13	83
gene-YDR513W	1847	2395	62	351
gene-YDR514C	77	122	92	322
gene-YDR515W	194	170	37	104
gene-YDR516C	3171	3384	63	178
gene-YDR517W	701	1116	34	136
gene-YDR518W	120	235	19	79
gene-YDR519W	308	501	20	131
gene-YDR520C	226	166	60	168
gene-YDR522C	52	16	5	13
gene-YDR523C	22	7	8	43
gene-YDR524C	372	158	178	525
gene-YDR524W-C	802	2716	633	2500
gene-YDR524C-B	2949	9251	1787	6524
gene-YDR525W	1	1	1	8
gene-YDR525W-A	781	468	28	84
gene-YDR527W	312	380	387	1277
gene-YNCD0032C	51	58	15	91
gene-YDR528W	9	8	112	319
gene-YDR529C	6801	8284	189	900
gene-YDR530C	892	973	35	173
gene-YDR531W	116	231	62	415
gene-YDR532C	328	397	44	182
gene-YDR533C	2336	2274	182	600
gene-YDR534C	28	73	42	226
gene-YDR536W	147	135	6114	24212
gene-YDR538W	212	150	36	96
gene-YDR539W	226	504	47	217
gene-YDR540C	146	124	9	32
gene-YDR541C	40	67	38	208
gene-YDR542W	2	3	0	8
gene-YDR545W	0	0	0	8
gene-YEL077C	76	90	9	23
gene-YEL076C-A	0	0	0	0
gene-YEL076C	0	2	0	0
gene-YEL075C	0	0	0	0
gene-YEL073C	642	502	18	46
gene-YEL072W	72	37	37	114
gene-YEL071W	1469	650	256	1312
gene-YEL070W	54	41	1	1
gene-YEL069C	20	17	2	5
gene-YEL068C	180	164	2	23
gene-YEL067C	82	67	2	3
gene-YEL066W	243	641	3	17
gene-YEL065W	2373	2159	70	104
gene-YEL064C	94	131	3	32
gene-YEL063C	600	1328	343	1177
gene-YEL062W	151	169	43	124
gene-YEL061C	116	209	15	92
gene-YEL060C	30425	15109	394	692
gene-YEL059C-A	105	92	2	13
gene-YEL059W	23	24	2	6
gene-YEL058W	318	459	42	188
gene-YEL057C	63	33	7	22
gene-YEL056W	245	419	29	186
gene-YEL055C	237	454	278	882
gene-YNCE0001C	1	0	1	6
